County,Tabulator ID,Batch,. of Ballots,Location
Douglas,1,GEN-0466,100,72
Douglas,1,GEN-0467,100,113
Douglas,1,GEN-0468,100,113
Douglas,1,GEN-0469,100,77
Douglas,1,GEN-0470,100,72
Douglas,1,GEN-0471,99,77
Douglas,1,GEN-0472,78,72
Douglas,1,GEN-0473,60,150
Douglas,1,GEN-0474,100,113
Douglas,1,GEN-0475,100,150
Douglas,1,GEN-0476,100,73
Douglas,1,GEN-0477,100,150
Douglas,1,GEN-0478,100,25
Douglas,1,GEN-0479,100,27
Douglas,1,GEN-0480,100,144
Douglas,1,GEN-0481,100,44
Douglas,1,GEN-0482,100,25
Douglas,1,GEN-0483,100,27
Douglas,1,GEN-0484,100,75
Douglas,1,GEN-0485,83,44
Douglas,1,GEN-0486,100,79
Douglas,1,GEN-0487,100,79
Douglas,1,GEN-0488,100,45
Douglas,1,GEN-0489,100,145
Douglas,1,GEN-0490,100,81
Douglas,1,GEN-0491,100,75
Douglas,1,GEN-0492,100,150
Douglas,1,GEN-0493,100,75
Douglas,1,GEN-0494,100,79
Douglas,1,GEN-0495,100,28
Douglas,1,GEN-0496,100,152
Douglas,1,GEN-0497,100,44
Douglas,1,GEN-0498,100,145
Douglas,1,GEN-0499,100,27
Douglas,1,GEN-0500,100,45
Douglas,1,GEN-0501,100,73
Douglas,1,GEN-0502,100,45
Douglas,1,GEN-0503,100,42
Douglas,1,GEN-0504,100,112
Douglas,1,GEN-0505,100,27
Douglas,1,GEN-0506,100,24
Douglas,1,GEN-0507,100,24
Douglas,1,GEN-0508,100,112
Douglas,1,GEN-0509,100,70
Douglas,1,GEN-0510,100,58
Douglas,1,GEN-0511,100,113
Douglas,1,GEN-0512,96,40
Douglas,1,GEN-0513,100,40
Douglas,1,GEN-0514,100,37
Douglas,1,GEN-0515,100,70
Douglas,1,GEN-0516,100,22
Douglas,1,GEN-0517,100,19
Douglas,1,GEN-0518,100,53
Douglas,1,GEN-0519,100,17
Douglas,1,GEN-0520,100,22
Douglas,1,GEN-0521,100,24
Douglas,1,GEN-0522,100,70
Douglas,1,GEN-0523,100,17
Douglas,1,GEN-0524,100,20
Douglas,1,GEN-0525,100,77
Douglas,1,GEN-0526,100,70
Douglas,1,GEN-0527,100,22
Douglas,1,GEN-0528,87,72
Douglas,1,GEN-0529,100,79
Douglas,1,GEN-0530,100,58
Douglas,1,GEN-0531,100,58
Douglas,1,GEN-0532,100,11
Douglas,1,GEN-0533,100,50
Douglas,1,GEN-0534,100,102
Douglas,1,GEN-0535,100,100
Douglas,1,GEN-0536,90,59
Douglas,1,GEN-0537,100,104
Douglas,1,GEN-0538,94,9
Douglas,1,GEN-0539,100,11
Douglas,1,GEN-0540,100,32
Douglas,1,GEN-0541,100,9
Douglas,1,GEN-0542,100,102
Douglas,1,GEN-0543,100,100
Douglas,1,GEN-0544,100,32
Douglas,1,GEN-0545,100,48
Douglas,1,GEN-0546,100,100
Douglas,1,GEN-0547,100,100
Douglas,1,GEN-0548,49,346
Douglas,1,GEN-0549,49,288
Douglas,1,GEN-0550,50,249
Douglas,1,GEN-0551,48,339
Douglas,1,GEN-0552,52,128
Douglas,1,GEN-0553,48,339
Douglas,1,GEN-0554,49,184
Douglas,1,GEN-0555,49,184
Douglas,1,GEN-0556,50,183
Douglas,1,GEN-0557,50,220
Douglas,1,GEN-0558,50,208
Douglas,1,GEN-0559,100,104
Douglas,1,GEN-0560,59,9
Douglas,1,GEN-0561,100,59
Douglas,1,GEN-0562,100,48
Douglas,1,GEN-0563,100,104
Douglas,1,GEN-0564,100,34
Douglas,1,GEN-0565,71,59
