County,Tabulator ID,Batch,# of Ballot Cards,Location/Box #
Mesa,402,4138,100,408
Mesa,402,4139,100,408
Mesa,402,4140,45,408
Mesa,402,4141,100,408
Mesa,402,4142,100,408
Mesa,402,4143,100,408
Mesa,402,4144,100,408
Mesa,402,4145,99,408
Mesa,402,4146,100,408
Mesa,402,4147,100,408
Mesa,402,4148,100,408
Mesa,402,4149,16,408
Mesa,402,4150,99,408
Mesa,402,4151,99,408
Mesa,402,4152,99,408
Mesa,402,4153,97,409
Mesa,402,4154,69,409
Mesa,402,4155,100,409
Mesa,402,4156,99,409
Mesa,402,4157,100,409
Mesa,402,4158,100,409
Mesa,402,4159,100,409
Mesa,402,4160,100,409
Mesa,402,4161,100,409
Mesa,402,4162,100,409
Mesa,402,4163,100,409
Mesa,402,4164,100,409
Mesa,402,4165,100,409
Mesa,402,4166,99,409
Mesa,402,4167,100,409
Mesa,402,4168,100,409
Mesa,402,4169,25,409
Mesa,402,4170,99,409
Mesa,402,4171,100,409
Mesa,402,4172,100,409
Mesa,402,4173,100,410
Mesa,402,4174,100,410
Mesa,402,4175,9,410
Mesa,402,4176,98,410
Mesa,402,4177,97,410
Mesa,402,4178,100,410
Mesa,402,4179,100,410
Mesa,402,4180,100,410
Mesa,402,4181,100,410
Mesa,402,4182,100,410
Mesa,402,4183,100,410
Mesa,402,4184,99,410
Mesa,402,4185,98,410
Mesa,402,4186,99,410
Mesa,402,4187,99,410
Mesa,402,4188,97,410
Mesa,402,4189,99,410
Mesa,402,4190,100,410
Mesa,402,4191,99,410
Mesa,402,4192,99,411
Mesa,402,4193,100,411
Mesa,402,4194,100,411
Mesa,402,4195,100,411
Mesa,402,4196,100,411
Mesa,402,4197,100,411
Mesa,402,4198,100,411
Mesa,402,4199,100,411
Mesa,402,4200,100,411
Mesa,402,4201,100,411
Mesa,402,4202,100,411
Mesa,402,4203,100,411
Mesa,402,4204,100,411
Mesa,402,4205,100,411
Mesa,402,4206,99,411
Mesa,402,4207,100,411
Mesa,402,4208,99,411
Mesa,402,4209,100,411
Mesa,402,4210,100,411
Mesa,402,4211,100,412
Mesa,402,4212,100,412
Mesa,402,4213,100,412
Mesa,402,4214,100,412
Mesa,402,4215,100,412
Mesa,402,4216,99,412
Mesa,402,4217,99,412
Mesa,402,4218,98,412
Mesa,402,4219,55,412
Mesa,402,4220,99,412
Mesa,402,4221,99,412
Mesa,402,4222,100,412
Mesa,402,4223,100,412
Mesa,402,4224,100,412
Mesa,402,4225,100,412
Mesa,402,4226,98,412
Mesa,402,4227,100,412
Mesa,402,4228,79,412
Mesa,402,4229,99,412
Mesa,402,4230,99,412
Mesa,402,4231,99,413
Mesa,402,4232,100,413
Mesa,402,4233,100,413
Mesa,402,4234,70,413
Mesa,402,4235,100,413
Mesa,402,4236,63,413
Mesa,402,4237,99,413
Mesa,402,4238,99,413
Mesa,402,4239,97,413
Mesa,402,4240,100,413
Mesa,402,4241,100,413
Mesa,402,4242,100,413
Mesa,402,4243,100,413
Mesa,402,4244,100,413
Mesa,402,4245,100,413
Mesa,402,4246,100,413
Mesa,402,4247,100,413
Mesa,402,4248,100,413
Mesa,402,4249,100,413
Mesa,402,4250,43,414
Mesa,402,4251,100,414
Mesa,402,4252,99,414
Mesa,402,4253,100,414
Mesa,402,4254,21,414
Mesa,402,4255,100,414
Mesa,402,4256,100,414
Mesa,402,4257,100,414
Mesa,402,4258,99,414
Mesa,402,4259,97,414
Mesa,402,4260,100,414
Mesa,402,4261,100,414
Mesa,402,4262,99,414
Mesa,402,4263,99,414
Mesa,402,4264,100,414
Mesa,402,4265,1,414
Mesa,402,4266,10,414
Mesa,402,4267,99,414
Mesa,402,4268,96,414
Mesa,402,4269,2,414
Mesa,402,4270,100,415
Mesa,402,4271,100,415
Mesa,402,4272,100,415
Mesa,402,4273,100,415
Mesa,402,4274,100,415
Mesa,402,4275,99,415
Mesa,402,4276,100,415
Mesa,402,4277,14,415
Mesa,402,4278,100,415
Mesa,402,4279,100,415
Mesa,402,4280,99,415
Mesa,402,4281,99,415
Mesa,402,4282,98,415
Mesa,402,4283,20,415
Mesa,402,4284,100,415
Mesa,402,4285,100,415
Mesa,402,4286,99,415
Mesa,402,4287,100,415
Mesa,402,4288,99,415
Mesa,402,4289,100,416
Mesa,402,4290,100,416
Mesa,402,4291,100,416
Mesa,402,4292,99,416
Mesa,402,4293,99,416
Mesa,402,4294,98,416
Mesa,402,4295,99,416
Mesa,402,4296,100,416
Mesa,402,4297,99,416
Mesa,402,4298,100,416
Mesa,402,4299,44,416
Mesa,402,4300,132,416
Mesa,402,4301,69,416
Mesa,402,4302,98,416
Mesa,402,4303,40,416
Mesa,402,4304,100,416
Mesa,402,4305,100,416
Mesa,402,4306,100,416
Mesa,402,4307,100,417
Mesa,402,4308,97,417
Mesa,402,4309,99,417
Mesa,402,4310,100,417
Mesa,402,4311,98,417
Mesa,402,4312,99,417
Mesa,402,4313,81,417
Mesa,402,4314,99,417
Mesa,402,4315,99,417
Mesa,402,4316,98,417
Mesa,402,4317,99,417
Mesa,402,4318,99,417
Mesa,402,4319,100,417
Mesa,402,4320,100,417
Mesa,402,4321,94,418
Mesa,402,4322,99,418
Mesa,402,4323,1,418
Mesa,402,4324,100,418
Mesa,402,4325,100,418
Mesa,402,4326,100,418
Mesa,402,4327,100,418
Mesa,402,4328,99,418
Mesa,402,4329,36,418
Mesa,402,4330,98,418
Mesa,402,4331,99,418
Mesa,402,4332,100,418
Mesa,402,4333,100,418
Mesa,402,4334,100,418
Mesa,402,4335,99,418
Mesa,402,4336,99,418
Mesa,402,4337,100,418
Mesa,402,4338,100,418
Mesa,402,4339,100,418
Mesa,402,4340,99,419
Mesa,402,4341,100,419
Mesa,402,4342,98,419
Mesa,402,4343,99,419
Mesa,402,4344,91,419
Mesa,402,4345,99,419
Mesa,402,4346,99,419
Mesa,402,4347,100,419
Mesa,402,4348,98,419
Mesa,402,4349,100,419
Mesa,402,4350,100,419
Mesa,402,4351,99,419
Mesa,402,4352,99,419
Mesa,402,4353,100,419
Mesa,402,4354,99,419
Mesa,402,4355,100,419
Mesa,402,4356,98,419
Mesa,402,4357,99,420
Mesa,402,4358,98,420
Mesa,402,4359,100,420
Mesa,402,4360,99,420
Mesa,402,4361,132,420
Mesa,402,4362,98,420
Mesa,402,4363,76,420
Mesa,402,4364,100,420
Mesa,402,4365,100,420
Mesa,402,4366,100,420
Mesa,402,4367,100,420
Mesa,402,4368,98,420
Mesa,402,4369,100,420
Mesa,402,4370,100,420
Mesa,402,4371,100,420
Mesa,402,4372,99,420
Mesa,402,4373,100,420
Mesa,402,4374,100,421
Mesa,402,4375,99,421
Mesa,402,4376,99,421
Mesa,402,4377,100,421
Mesa,402,4378,99,421
Mesa,402,4379,100,421
Mesa,402,4380,100,421
Mesa,402,4381,100,421
Mesa,402,4382,98,421
Mesa,402,4383,99,421
Mesa,402,4384,100,421
Mesa,402,4385,99,421
Mesa,402,4386,100,421
Mesa,402,4387,100,421
Mesa,402,4388,63,421
Mesa,402,4389,97,421
Mesa,402,4390,100,421
Mesa,402,4391,98,421
Mesa,402,4392,99,422
Mesa,402,4393,99,422
Mesa,402,4394,99,422
Mesa,402,4395,100,422
Mesa,402,4396,100,422
Mesa,402,4397,100,422
Mesa,402,4398,99,422
Mesa,402,4399,100,422
Mesa,402,4400,97,422
Mesa,402,4401,100,422
Mesa,402,4402,99,422
Mesa,402,4403,24,422
Mesa,402,4404,100,422
Mesa,402,4405,100,422
Mesa,402,4406,96,422
Mesa,402,4407,99,422
Mesa,402,4408,99,422
Mesa,402,4409,100,422
