County,Tabulator ID,Batch,# of Ballot Cards,Location,,,,,,,,,,,,,,,,
Eagle,101,310,25,15,,,,,,,,,,,,,,,,
Eagle,101,311,25,15,,,,,,,,,,,,,,,,
Eagle,101,312,25,15,,,,,,,,,,,,,,,,
Eagle,101,313,25,15,,,,,,,,,,,,,,,,
Eagle,101,314,25,15,,,,,,,,,,,,,,,,
Eagle,101,315,25,15,,,,,,,,,,,,,,,,
Eagle,101,316,25,15,,,,,,,,,,,,,,,,
Eagle,101,317,25,15,,,,,,,,,,,,,,,,
Eagle,101,318,25,15,,,,,,,,,,,,,,,,
Eagle,101,319,25,15,,,,,,,,,,,,,,,,
Eagle,101,320,25,15,,,,,,,,,,,,,,,,
Eagle,101,321,25,15,,,,,,,,,,,,,,,,
Eagle,101,322,25,15,,,,,,,,,,,,,,,,
Eagle,101,323,25,15,,,,,,,,,,,,,,,,
Eagle,101,324,25,15,,,,,,,,,,,,,,,,
Eagle,101,325,25,15,,,,,,,,,,,,,,,,
Eagle,101,326,25,16,,,,,,,,,,,,,,,,
Eagle,101,327,25,16,,,,,,,,,,,,,,,,
Eagle,101,328,25,16,,,,,,,,,,,,,,,,
Eagle,101,329,25,16,,,,,,,,,,,,,,,,
Eagle,101,330,25,16,,,,,,,,,,,,,,,,
Eagle,101,331,25,16,,,,,,,,,,,,,,,,
Eagle,101,332,25,16,,,,,,,,,,,,,,,,
Eagle,101,333,25,16,,,,,,,,,,,,,,,,
Eagle,101,334,25,16,,,,,,,,,,,,,,,,
Eagle,101,335,25,16,,,,,,,,,,,,,,,,
Eagle,101,336,25,16,,,,,,,,,,,,,,,,
Eagle,101,337,25,16,,,,,,,,,,,,,,,,
Eagle,101,338,25,16,,,,,,,,,,,,,,,,
Eagle,101,339,25,16,,,,,,,,,,,,,,,,
Eagle,101,340,25,16,,,,,,,,,,,,,,,,
Eagle,101,341,25,16,,,,,,,,,,,,,,,,
Eagle,101,342,25,16,,,,,,,,,,,,,,,,
Eagle,101,343,25,16,,,,,,,,,,,,,,,,
Eagle,101,344,25,16,,,,,,,,,,,,,,,,
Eagle,101,345,25,16,,,,,,,,,,,,,,,,
Eagle,101,346,25,16,,,,,,,,,,,,,,,,
Eagle,101,347,25,16,,,,,,,,,,,,,,,,
Eagle,101,348,25,16,,,,,,,,,,,,,,,,
Eagle,101,349,25,16,,,,,,,,,,,,,,,,
Eagle,101,350,25,17,,,,,,,,,,,,,,,,
Eagle,101,351,25,17,,,,,,,,,,,,,,,,
Eagle,101,352,25,17,,,,,,,,,,,,,,,,
Eagle,101,353,25,17,,,,,,,,,,,,,,,,
Eagle,101,354,25,17,,,,,,,,,,,,,,,,
Eagle,101,355,25,17,,,,,,,,,,,,,,,,
Eagle,101,356,25,17,,,,,,,,,,,,,,,,
Eagle,101,357,25,17,,,,,,,,,,,,,,,,
Eagle,101,358,25,17,,,,,,,,,,,,,,,,
Eagle,101,359,25,17,,,,,,,,,,,,,,,,
Eagle,101,360,25,17,,,,,,,,,,,,,,,,
Eagle,101,361,25,17,,,,,,,,,,,,,,,,
Eagle,101,362,25,17,,,,,,,,,,,,,,,,
Eagle,101,363,20,17,,,,,,,,,,,,,,,,
Eagle,101,364,25,17,,,,,,,,,,,,,,,,
Eagle,101,365,25,17,,,,,,,,,,,,,,,,
Eagle,101,366,25,17,,,,,,,,,,,,,,,,
Eagle,101,367,25,17,,,,,,,,,,,,,,,,
Eagle,101,368,25,17,,,,,,,,,,,,,,,,
Eagle,101,369,25,17,,,,,,,,,,,,,,,,
Eagle,101,370,25,17,,,,,,,,,,,,,,,,
Eagle,101,371,25,17,,,,,,,,,,,,,,,,
Eagle,101,372,25,17,,,,,,,,,,,,,,,,
Eagle,101,373,25,18,,,,,,,,,,,,,,,,
Eagle,101,374,25,18,,,,,,,,,,,,,,,,
Eagle,101,375,25,18,,,,,,,,,,,,,,,,
Eagle,101,376,12,18,,,,,,,,,,,,,,,,
Eagle,101,377,20,18,,,,,,,,,,,,,,,,
Eagle,101,378,25,18,,,,,,,,,,,,,,,,
Eagle,101,379,25,18,,,,,,,,,,,,,,,,
Eagle,101,380,25,18,,,,,,,,,,,,,,,,
Eagle,101,381,25,18,,,,,,,,,,,,,,,,
Eagle,101,382,25,18,,,,,,,,,,,,,,,,
Eagle,101,383,25,18,,,,,,,,,,,,,,,,
Eagle,101,384,25,18,,,,,,,,,,,,,,,,
Eagle,101,385,25,18,,,,,,,,,,,,,,,,
Eagle,101,386,25,18,,,,,,,,,,,,,,,,
Eagle,101,387,25,18,,,,,,,,,,,,,,,,
Eagle,101,388,25,18,,,,,,,,,,,,,,,,
Eagle,101,389,25,18,,,,,,,,,,,,,,,,
Eagle,101,390,25,18,,,,,,,,,,,,,,,,
Eagle,101,391,25,18,,,,,,,,,,,,,,,,
Eagle,101,392,25,18,,,,,,,,,,,,,,,,
Eagle,101,393,25,18,,,,,,,,,,,,,,,,
Eagle,101,394,25,18,,,,,,,,,,,,,,,,
Eagle,101,395,25,18,,,,,,,,,,,,,,,,
Eagle,101,396,25,19,,,,,,,,,,,,,,,,
Eagle,101,397,25,19,,,,,,,,,,,,,,,,
Eagle,101,398,25,19,,,,,,,,,,,,,,,,
Eagle,101,399,25,19,,,,,,,,,,,,,,,,
Eagle,101,400,25,19,,,,,,,,,,,,,,,,
Eagle,101,401,25,19,,,,,,,,,,,,,,,,
Eagle,101,402,25,19,,,,,,,,,,,,,,,,
Eagle,101,403,25,19,,,,,,,,,,,,,,,,
Eagle,101,404,25,19,,,,,,,,,,,,,,,,
Eagle,101,405,25,19,,,,,,,,,,,,,,,,
Eagle,101,406,25,19,,,,,,,,,,,,,,,,
Eagle,101,407,25,19,,,,,,,,,,,,,,,,
Eagle,101,408,25,19,,,,,,,,,,,,,,,,
Eagle,101,409,25,19,,,,,,,,,,,,,,,,
Eagle,101,410,25,19,,,,,,,,,,,,,,,,
Eagle,101,411,25,19,,,,,,,,,,,,,,,,
Eagle,101,412,25,19,,,,,,,,,,,,,,,,
Eagle,101,413,25,19,,,,,,,,,,,,,,,,
Eagle,101,414,25,19,,,,,,,,,,,,,,,,
Eagle,101,415,25,19,,,,,,,,,,,,,,,,
