"County","Tabulator ID","Batch",". of Ballots","Location"
"Douglas","1","PRI-0700",87,92
"Douglas","1","PRI-0701",100,92
"Douglas","1","PRI-0702",100,92
"Douglas","1","PRI-0703",100,78
"Douglas","1","PRI-0704",100,86
"Douglas","1","PRI-0705",100,72
"Douglas","1","PRI-0706",100,86
"Douglas","1","PRI-0707",100,89
"Douglas","1","PRI-0708",100,80
"Douglas","1","PRI-0709",100,74
"Douglas","1","PRI-0710",100,89
"Douglas","1","PRI-0711",100,74
"Douglas","1","PRI-0712",100,80
"Douglas","1","PRI-0713",100,66
"Douglas","1","PRI-0714",100,74
"Douglas","1","PRI-0715",100,82
"Douglas","1","PRI-0716",100,80
"Douglas","1","PRI-0717",100,73
"Douglas","1","PRI-0718",100,86
"Douglas","1","PRI-0719",100,72
"Douglas","1","PRI-0720",73,74
"Douglas","1","PRI-0721",100,73
"Douglas","1","PRI-0722",100,89
"Douglas","1","PRI-0723",100,80
"Douglas","1","PRI-0724",29,63
"Douglas","1","PRI-0725",100,86
"Douglas","1","PRI-0726",100,73
"Douglas","1","PRI-0727",100,72
"Douglas","1","PRI-0728",100,74
"Douglas","1","PRI-0729",100,86
"Douglas","1","PRI-0730",100,89
"Douglas","1","PRI-0731",100,86
"Douglas","1","PRI-0732",100,74
"Douglas","1","PRI-0733",100,86
"Douglas","1","PRI-0734",65,72
"Douglas","1","PRI-0735",100,74
"Douglas","1","PRI-0736",100,78
"Douglas","1","PRI-0737",100,73
"Douglas","1","PRI-0738",100,72
"Douglas","1","PRI-0739",100,75
"Douglas","1","PRI-0740",100,82
"Douglas","1","PRI-0741",100,66
"Douglas","1","PRI-0742",100,74
"Douglas","1","PRI-0743",100,73
"Douglas","1","PRI-0744",100,72
"Douglas","1","PRI-0745",100,72
"Douglas","1","PRI-0746",100,78
"Douglas","1","PRI-0747",100,72
"Douglas","1","PRI-0748",100,82
"Douglas","1","PRI-0749",100,78
"Douglas","1","PRI-0750",100,72
"Douglas","1","PRI-0751",100,82
"Douglas","1","PRI-0752",86,72
"Douglas","1","PRI-0753",100,73
"Douglas","1","PRI-0754",37,74
"Douglas","1","PRI-0755",100,78
"Douglas","1","PRI-0756",100,73
"Douglas","1","PRI-0757",100,74
"Douglas","1","PRI-0758",100,72
"Douglas","1","PRI-0759",100,78
"Douglas","1","PRI-0760",100,78
"Douglas","1","PRI-0761",100,72
"Douglas","1","PRI-0762",100,73
"Douglas","1","PRI-0763",34,78
"Douglas","1","PRI-0764",100,73
"Douglas","1","PRI-0765",100,82
"Douglas","1","PRI-0766",100,78
"Douglas","1","PRI-0767",100,72
"Douglas","1","PRI-0768",100,63
"Douglas","1","PRI-0769",100,78
"Douglas","1","PRI-0770",100,73
"Douglas","1","PRI-0771",100,82
"Douglas","1","PRI-0772",100,73
"Douglas","1","PRI-0773",100,73
"Douglas","1","PRI-0774",100,63
"Douglas","1","PRI-0775",64,74
"Douglas","1","PRI-0776",100,80
"Douglas","1","PRI-0777",100,74
"Douglas","1","PRI-0778",100,63
"Douglas","1","PRI-0779",100,74
"Douglas","1","PRI-0780",31,82
"Douglas","1","PRI-0781",100,82
"Douglas","1","PRI-0782",100,82
"Douglas","1","PRI-0783",100,72
"Douglas","1","PRI-0784",97,82
"Douglas","1","PRI-0785",100,82
"Douglas","1","PRI-0786",100,80
"Douglas","1","PRI-0787",100,63
"Douglas","1","PRI-0788",100,74
"Douglas","1","PRI-0789",100,66
"Douglas","1","PRI-0790",100,80
"Douglas","1","PRI-0791",100,89
"Douglas","1","PRI-0792",100,66
"Douglas","1","PRI-0793",100,89
"Douglas","1","PRI-0794",100,66
"Douglas","1","PRI-0795",100,82
"Douglas","1","PRI-0796",100,82
"Douglas","1","PRI-0797",93,73
"Douglas","1","PRI-0798",100,78
