County,Tabulator,Batch,. of Ballots,Location
Douglas,1,PRI-0494,100,70
Douglas,1,PRI-0495,100,72
Douglas,1,PRI-0496,100,72
Douglas,1,PRI-0497,100,32
Douglas,1,PRI-0498,100,32
Douglas,1,PRI-0499,100,45
Douglas,1,PRI-0500,49,19
Douglas,1,PRI-0501,100,72
Douglas,1,PRI-0502,100,46
Douglas,1,PRI-0503,100,46
Douglas,1,PRI-0504,78,46
Douglas,1,PRI-0505,100,72
Douglas,1,PRI-0506,100,16
Douglas,1,PRI-0507,100,46
Douglas,1,PRI-0508,100,16
Douglas,1,PRI-0509,100,32
Douglas,1,PRI-0510,100,16
Douglas,1,PRI-0511,100,46
Douglas,1,PRI-0512,99,16
Douglas,1,PRI-0513,100,46
Douglas,1,PRI-0514,100,46
Douglas,1,PRI-0515,100,45
Douglas,1,PRI-0516,100,32
Douglas,1,PRI-0517,100,32
Douglas,1,PRI-0518,100,46
Douglas,1,PRI-0519,100,46
Douglas,1,PRI-0520,100,32
Douglas,1,PRI-0521,100,32
Douglas,1,PRI-0522,100,16
Douglas,1,PRI-0523,100,72
Douglas,1,PRI-0524,100,16
Douglas,1,PRI-0525,100,16
Douglas,1,PRI-0526,100,16
Douglas,1,PRI-0527,100,32
Douglas,1,PRI-0528,65,32
Douglas,1,PRI-0529,100,46
Douglas,1,PRI-0530,100,46
Douglas,1,PRI-0531,100,46
Douglas,1,PRI-0532,101,16
Douglas,1,PRI-0533,100,70
Douglas,1,PRI-0534,100,70
Douglas,1,PRI-0535,100,72
Douglas,1,PRI-0536,100,72
Douglas,1,PRI-0537,100,72
Douglas,1,PRI-0538,100,72
Douglas,1,PRI-0539,100,72
Douglas,1,PRI-0540,100,32
Douglas,1,PRI-0541,66,72
Douglas,1,PRI-0542,50,46
Douglas,1,PRI-0543,100,16
Douglas,1,PRI-0544,100,73
Douglas,1,PRI-0545,58,73
Douglas,1,PRI-0546,100,48
Douglas,1,PRI-0547,85,18
Douglas,1,PRI-0548,91,18
Douglas,1,PRI-0549,100,18
Douglas,1,PRI-0550,100,50
