County,Tabulator,Batch #,# of ballots,Location
Adams,104,147,99,Box 104-12
Adams,104,148,100,Box 104-12
Adams,104,149,100,Box 104-12
Adams,104,150,100,Box 104-12
Adams,104,151,100,Box 104-12
Adams,104,152,97,Box 104-12
Adams,104,153,100,Box 104-12
Adams,104,154,100,Box 104-12
Adams,104,155,100,Box 104-12
Adams,104,156,100,Box 104-12
Adams,104,157,99,Box 104-12
Adams,104,158,100,Box 104-12
Adams,104,159,89,Box 104-12
Adams,104,160,100,Box 104-13
Adams,104,161,100,Box 104-13
Adams,104,162,100,Box 104-13
Adams,104,163,100,Box 104-13
Adams,104,164,100,Box 104-13
Adams,104,165,100,Box 104-13
Adams,104,166,100,Box 104-13
Adams,104,167,99,Box 104-13
Adams,104,168,100,Box 104-13
Adams,104,169,98,Box 104-13
Adams,104,170,88,Box 104-13
Adams,104,171,100,Box 104-13
Adams,104,172,100,Box 104-13
Adams,104,173,100,Box 104-14
Adams,104,174,100,Box 104-14
Adams,104,175,100,Box 104-14
Adams,104,176,99,Box 104-14
Adams,104,177,100,Box 104-14
Adams,104,178,100,Box 104-14
Adams,104,179,100,Box 104-14
Adams,104,180,100,Box 104-14
Adams,104,181,100,Box 104-14
Adams,104,182,100,Box 104-14
Adams,104,183,100,Box 104-14
Adams,104,184,100,Box 104-14
Adams,104,185,99,Box 104-14
Adams,104,186,100,Box 104-14
Adams,104,187,100,Box 104-15
Adams,104,188,100,Box 104-15
Adams,104,189,99,Box 104-15
Adams,104,190,100,Box 104-15
Adams,104,191,100,Box 104-15
Adams,104,192,100,Box 104-15
Adams,104,193,100,Box 104-15
Adams,104,194,100,Box 104-15
Adams,104,195,100,Box 104-15
Adams,104,196,100,Box 104-15
Adams,104,197,99,Box 104-15
Adams,104,198,100,Box 104-15
Adams,104,199,100,Box 104-15
Adams,104,200,100,Box 104-15
Adams,104,201,99,Box 104-16
Adams,104,202,100,Box 104-16
Adams,104,203,100,Box 104-16
Adams,104,204,100,Box 104-16
Adams,104,205,100,Box 104-16
Adams,104,206,99,Box 104-16
Adams,104,207,100,Box 104-16
Adams,104,208,100,Box 104-16
Adams,104,209,100,Box 104-16
Adams,104,210,100,Box 104-16
Adams,104,211,100,Box 104-16
Adams,104,212,99,Box 104-16
Adams,104,213,100,Box 104-16
Adams,104,214,100,Box 104-16
Adams,106,1,100,Box 106-1
Adams,106,2,100,Box 106-1
Adams,106,3,100,Box 106-1
Adams,106,4,99,Box 106-1
Adams,106,5,99,Box 106-1
Adams,106,6,33,Box 106-1
Adams,106,7,67,Box 106-1
Adams,106,8,100,Box 106-1
Adams,106,9,100,Box 106-1
Adams,106,10,119,Box 106-1
Adams,106,11,80,Box 106-1
Adams,106,12,100,Box 106-1
Adams,106,13,100,Box 106-1
Adams,106,14,100,Box 106-1
Adams,106,15,100,Box 106-2
Adams,106,16,100,Box 106-2
Adams,106,17,100,Box 106-2
Adams,106,18,100,Box 106-2
Adams,106,19,100,Box 106-2
Adams,106,20,100,Box 106-2
Adams,106,21,99,Box 106-2
Adams,106,22,100,Box 106-2
Adams,106,23,99,Box 106-2
Adams,106,24,100,Box 106-2
Adams,106,25,100,Box 106-2
Adams,106,26,100,Box 106-2
Adams,106,27,100,Box 106-2
Adams,106,28,100,Box 106-3
Adams,106,29,100,Box 106-3
Adams,106,30,100,Box 106-3
Adams,106,31,99,Box 106-3
Adams,106,32,100,Box 106-3
Adams,106,33,101,Box 106-3
Adams,106,34,99,Box 106-3
Adams,106,35,100,Box 106-3
Adams,106,36,98,Box 106-3
Adams,106,37,100,Box 106-3
Adams,106,38,100,Box 106-3
Adams,106,39,100,Box 106-3
Adams,106,40,100,Box 106-3
Adams,106,41,100,Box 106-4
Adams,106,42,100,Box 106-4
Adams,106,43,100,Box 106-4
Adams,106,44,100,Box 106-4
Adams,106,45,100,Box 106-4
Adams,106,46,100,Box 106-4
Adams,106,47,100,Box 106-4
Adams,106,48,99,Box 106-4
Adams,106,49,100,Box 106-4
Adams,106,50,100,Box 106-4
Adams,106,51,100,Box 106-4
Adams,106,52,100,Box 106-4
Adams,106,53,100,Box 106-4
Adams,106,54,99,Box 106-5
Adams,106,55,100,Box 106-5
Adams,106,56,99,Box 106-5
Adams,106,57,100,Box 106-5
Adams,106,58,112,Box 106-5
Adams,106,59,110,Box 106-5
Adams,106,60,100,Box 106-5
Adams,106,61,100,Box 106-5
Adams,106,62,98,Box 106-5
Adams,106,63,100,Box 106-5
Adams,106,64,100,Box 106-5
Adams,106,65,100,Box 106-5
Adams,106,66,100,Box 106-5
Adams,106,67,100,Box 106-5
Adams,106,68,99,Box 106-5
Adams,107,1,100,Box 107-1
Adams,107,2,100,Box 107-1
Adams,107,3,99,Box 107-1
Adams,107,4,100,Box 107-1
Adams,107,5,100,Box 107-1
Adams,107,6,99,Box 107-1
Adams,107,7,100,Box 107-1
Adams,107,8,100,Box 107-1
