County,Tabulator ID,TrackingId,BatchCount,BallotStorageBox
Douglas,1,COORD-0783,100,88
Douglas,1,COORD-0784,100,95
Douglas,1,COORD-0785,100,95
Douglas,1,COORD-0786,100,95
Douglas,1,COORD-0787,100,112
Douglas,1,COORD-0788,100,105
Douglas,1,COORD-0789,100,95
Douglas,1,COORD-0790,100,92
Douglas,1,COORD-0791,100,94
Douglas,1,COORD-0792,100,106
Douglas,1,COORD-0793,100,92
Douglas,1,COORD-0794,100,105
Douglas,1,COORD-0795,100,94
Douglas,1,COORD-0796,96,106
Douglas,1,COORD-0797,100,116
Douglas,1,COORD-0798,100,126
Douglas,1,COORD-0799,100,88
Douglas,1,COORD-0800,100,89
Douglas,1,COORD-0801,100,105
Douglas,1,COORD-0802,100,94
Douglas,1,COORD-0803,100,88
Douglas,1,COORD-0804,100,88
