county_name,contest_name,imprinted_id,ballot_type,choice_per_voting_computer,audit_board_selection,consensus,record_type,audit_board_comment,timestamp,cvr_id,audit_reason,discrepancy
Adams,Adams 12 Five Star School District Director District No 1,105-189-14,33,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 12:52:04.530,1279839,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,105-18-98,34,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 10:26:32.500,1192257,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,105-190-38,33,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 12:52:55.310,1280341,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,105-191-97,33,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 12:53:49.270,1280656,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,0105-02-24,33,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 10:20:48.290,1186633,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,105-48-42,34,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 10:40:04.890,1206362,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,105-50-72,45,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 10:44:42.590,1207460,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,105-56-86,38,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 10:52:18.740,1210487,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,105-64-86,32,,,YES,uploaded,,2023-11-20 10:59:19.530,1214822,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,105-68-8,33,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 11:04:07.760,1216670,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,105-73-1,32,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 11:04:41.840,1218651,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,105-84-18,34,,,YES,uploaded,,2023-11-20 11:33:10.490,1224977,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,105-98-50,35,,,YES,uploaded,,2023-11-20 12:23:40.220,1232425,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,106-101-28,33,"""Ken Murphy-Montoya""","""Ken Murphy-Montoya""",YES,uploaded,,2023-11-20 10:18:01.190,1248164,,FALSE
Adams,Adams 12 Five Star School District Director District No 1,106-101-83,33,"""Lori Goldstein""","""Lori Goldstein""",YES,uploaded,,2023-11-20 10:18:50.180,1248144,,FALSE
