County,Tabulator ID,Batch,# of Ballots,Location,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,239,25,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,240,29,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,241,20,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,242,20,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,243,25,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,244,24,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,245,14,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,246,20,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,247,25,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,248,25,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,249,20,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,250,15,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,251,25,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,252,25,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,253,25,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,254,25,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,255,25,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,256,23,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,257,24,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,258,24,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,259,25,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,260,25,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,261,25,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,262,25,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,263,22,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,264,23,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,265,25,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,266,25,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,267,25,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,268,25,Box 6,,,,,,,,,,,,,,,,,,,,,
Broomfield,4,269,24,Box 6,,,,,,,,,,,,,,,,,,,,,
