County,Tabulator,Batch,Ballots,Location
Douglas,1,GEN-0643,100,99
Douglas,1,GEN-0644,100,110
Douglas,1,GEN-0645,100,97
Douglas,1,GEN-0646,100,109
Douglas,1,GEN-0647,100,109
Douglas,1,GEN-0648,100,106
Douglas,1,GEN-0649,100,107
Douglas,1,GEN-0650,100,110
Douglas,1,GEN-0651,100,102
Douglas,1,GEN-0652,100,99
Douglas,1,GEN-0653,100,102
Douglas,1,GEN-0654,87,94
Douglas,1,GEN-0655,85,115
Douglas,1,GEN-0656,100,112
Douglas,1,GEN-0657,100,110
Douglas,1,GEN-0658,100,107
Douglas,1,GEN-0659,100,112
Douglas,1,GEN-0660,100,102
Douglas,1,GEN-0661,100,115
Douglas,1,GEN-0662,100,89
Douglas,1,GEN-0663,100,109
Douglas,1,GEN-0664,100,106
Douglas,1,GEN-0665,100,102
Douglas,1,GEN-0666,100,115
Douglas,1,GEN-0667,100,110
Douglas,1,GEN-0668,100,110
Douglas,1,GEN-0669,100,106
Douglas,1,GEN-0670,100,110
Douglas,1,GEN-0671,100,110
Douglas,1,GEN-0672,100,112
Douglas,1,GEN-0673,100,107
Douglas,1,GEN-0674,100,109
Douglas,1,GEN-0675,100,112
Douglas,1,GEN-0676,100,109
Douglas,1,GEN-0677,100,106
Douglas,1,GEN-0678,30,109
Douglas,1,GEN-0679,100,107
Douglas,1,GEN-0680,100,107
Douglas,1,GEN-0681,100,109
Douglas,1,GEN-0682,100,115
Douglas,1,GEN-0683,100,102
Douglas,1,GEN-0684,100,103
Douglas,1,GEN-0685,100,112
Douglas,1,GEN-0686,100,103
Douglas,1,GEN-0687,100,109
Douglas,1,GEN-0688,100,106
Douglas,1,GEN-0689,100,112
Douglas,1,GEN-0690,100,90
Douglas,1,GEN-0691,54,115
Douglas,1,GEN-0692,100,107
Douglas,1,GEN-0693,100,107
Douglas,1,GEN-0694,100,89
Douglas,1,GEN-0695,100,103
Douglas,1,GEN-0696,100,90
Douglas,1,GEN-0697,100,109
Douglas,1,GEN-0698,76,106
Douglas,1,GEN-0699,100,110
Douglas,1,GEN-0700,100,115
Douglas,1,GEN-0701,100,89
Douglas,1,GEN-0702,74,127
Douglas,1,GEN-0703,100,127
Douglas,1,GEN-0704,100,127
Douglas,1,GEN-0705,100,123
Douglas,1,GEN-0706,93,126
Douglas,1,GEN-0707,100,115
Douglas,1,GEN-0708,100,118
Douglas,1,GEN-0709,100,117
Douglas,1,GEN-0710,100,127
Douglas,1,GEN-0711,100,58
Douglas,1,GEN-0712,75,117
Douglas,1,GEN-0713,100,125
Douglas,1,GEN-0714,100,123
Douglas,1,GEN-0715,42,126
Douglas,1,GEN-0716,100,130
Douglas,1,GEN-0717,137,149
Douglas,1,GEN-0718,100,117
Douglas,1,GEN-0719,100,127
Douglas,1,GEN-0720,100,117
Douglas,1,GEN-0721,100,130
Douglas,1,GEN-0722,100,117
Douglas,1,GEN-0723,100,127
Douglas,1,GEN-0724,89,130
Douglas,1,GEN-0725,100,125
Douglas,1,GEN-0726,100,123
Douglas,1,GEN-0727,100,58
Douglas,1,GEN-0728,100,118
Douglas,1,GEN-0729,100,58
Douglas,1,GEN-0730,100,58
Douglas,1,GEN-0731,89,58
