county,contest,record_type,cvr_number,imprinted_id,raw_vote,valid_interpretation
Larimer,City of Fort Collins Mayor,UPLOADED,91858,109-116-46,"""Emily Francis(1)"",""Tricia Canonico(2)"",""Adam Hirschhorn(3)"",""Jeffrey Shumway(4)"",""Adam Hirschhorn(5)"",""Shirley Peel(5)"",""Adam Eggleston(6)"",""Scotty V VanTatenhove(7)""","""Emily Francis"",""Tricia Canonico"",""Adam Hirschhorn"",""Jeffrey Shumway"",""Shirley Peel"",""Adam Eggleston"",""Scotty V VanTatenhove"""
Larimer,City of Fort Collins Mayor,UPLOADED,92257,112-133-14,"""Scotty V VanTatenhove(1)"",""Emily Francis(2)"",""Tricia Canonico(3)"",""Adam Eggleston(4)"",""Adam Hirschhorn(4)"",""Shirley Peel(5)"",""Adam Eggleston(6)"",""Adam Hirschhorn(6)"",""Jeffrey Shumway(7)""","""Scotty V VanTatenhove"",""Emily Francis"",""Tricia Canonico"""
Larimer,City of Fort Collins Mayor,UPLOADED,92258,112-133-37,"""Shirley Peel(1)"",""Jeffrey Shumway(2)"",""Tricia Canonico(3)"",""Emily Francis(7)""","""Shirley Peel"",""Jeffrey Shumway"",""Tricia Canonico"""
Larimer,City of Fort Collins Mayor,UPLOADED,92650,110-113-89,"""Emily Francis(1)"",""Tricia Canonico(2)"",""Scotty V VanTatenhove(3)"",""Emily Francis(4)""","""Emily Francis"",""Tricia Canonico"",""Scotty V VanTatenhove"""
Larimer,City of Fort Collins Mayor,UPLOADED,92651,110-113-77,"""Tricia Canonico(1)"",""Emily Francis(2)"",""Scotty V VanTatenhove(3)"",""Shirley Peel(4)"",""Adam Eggleston(6)"",""Jeffrey Shumway(7)""","""Tricia Canonico"",""Emily Francis"",""Scotty V VanTatenhove"",""Shirley Peel"""
Larimer,City of Fort Collins Mayor,UPLOADED,92652,110-113-90,"""Emily Francis(1)"",""Tricia Canonico(2)"",""Shirley Peel(3)"",""Scotty V VanTatenhove(4)"",""Jeffrey Shumway(7)""","""Emily Francis"",""Tricia Canonico"",""Shirley Peel"",""Scotty V VanTatenhove"""
Larimer,City of Fort Collins Councilmember - District 1,UPLOADED,92653,110-113-25,"""Susan Gutowsky(3)""",""
Larimer,City of Fort Collins Mayor,UPLOADED,92654,110-113-10,"""Tricia Canonico(1)"",""Emily Francis(2)"",""Shirley Peel(3)"",""Adam Hirschhorn(4)"",""Scotty V VanTatenhove(5)"",""Jeffrey Shumway(7)""","""Tricia Canonico"",""Emily Francis"",""Shirley Peel"",""Adam Hirschhorn"",""Scotty V VanTatenhove"""
Larimer,City of Fort Collins Mayor,UPLOADED,92657,110-113-94,"""Emily Francis(1)"",""Jeffrey Shumway(2)"",""Adam Eggleston(3)"",""Tricia Canonico(4)"",""Shirley Peel(5)"",""Shirley Peel(6)"",""Jeffrey Shumway(7)""","""Emily Francis"",""Jeffrey Shumway"",""Adam Eggleston"",""Tricia Canonico"",""Shirley Peel"""
Larimer,City of Fort Collins Mayor,UPLOADED,93150,104-123-2,"""Scotty V VanTatenhove(1)"",""Emily Francis(2)"",""Shirley Peel(3)"",""Jeffrey Shumway(4)"",""Adam Hirschhorn(5)"",""Shirley Peel(6)"",""Adam Eggleston(7)""","""Scotty V VanTatenhove"",""Emily Francis"",""Shirley Peel"",""Jeffrey Shumway"",""Adam Hirschhorn"""
Larimer,City of Fort Collins Mayor,UPLOADED,93151,104-123-84,"""Tricia Canonico(1)"",""Adam Eggleston(2)"",""Emily Francis(3)"",""Adam Hirschhorn(4)"",""Adam Hirschhorn(5)"",""Shirley Peel(5)"",""Jeffrey Shumway(6)"",""Scotty V VanTatenhove(7)""","""Tricia Canonico"",""Adam Eggleston"",""Emily Francis"",""Adam Hirschhorn"",""Shirley Peel"",""Jeffrey Shumway"",""Scotty V VanTatenhove"""
Larimer,City of Fort Collins Mayor,UPLOADED,93153,104-123-73,"""Emily Francis(1)"",""Shirley Peel(2)"",""Emily Francis(3)""","""Emily Francis"",""Shirley Peel"""
Larimer,City of Fort Collins Mayor,UPLOADED,93154,104-123-17,"""Jeffrey Shumway(1)"",""Adam Eggleston(2)"",""Emily Francis(3)"",""Adam Hirschhorn(4)"",""Shirley Peel(5)"",""Tricia Canonico(7)"",""Scotty V VanTatenhove(7)""","""Jeffrey Shumway"",""Adam Eggleston"",""Emily Francis"",""Adam Hirschhorn"",""Shirley Peel"""
Larimer,City of Fort Collins Mayor,UPLOADED,93248,109-118-70,"""Tricia Canonico(2)""",""
Larimer,City of Fort Collins Mayor,UPLOADED,93249,109-118-76,"""Emily Francis(1)"",""Scotty V VanTatenhove(2)"",""Adam Eggleston(3)"",""Tricia Canonico(4)"",""Adam Eggleston(5)"",""Adam Hirschhorn(6)"",""Jeffrey Shumway(7)""","""Emily Francis"",""Scotty V VanTatenhove"",""Adam Eggleston"",""Tricia Canonico"""
Larimer,City of Fort Collins Mayor,UPLOADED,93251,109-118-66,"""Jeffrey Shumway(1)"",""Scotty V VanTatenhove(2)"",""Adam Eggleston(3)"",""Scotty V VanTatenhove(4)"",""Tricia Canonico(5)"",""Adam Hirschhorn(6)"",""Emily Francis(7)""","""Jeffrey Shumway"",""Scotty V VanTatenhove"",""Adam Eggleston"""
Larimer,City of Fort Collins Mayor,UPLOADED,93252,109-118-77,"""Tricia Canonico(1)"",""Emily Francis(2)"",""Jeffrey Shumway(3)"",""Shirley Peel(4)"",""Scotty V VanTatenhove(5)"",""Adam Eggleston(6)"",""Jeffrey Shumway(7)""","""Tricia Canonico"",""Emily Francis"",""Jeffrey Shumway"",""Shirley Peel"",""Scotty V VanTatenhove"",""Adam Eggleston"""
Larimer,City of Fort Collins Mayor,UPLOADED,93353,111-120-89,"""Scotty V VanTatenhove(1)"",""Shirley Peel(2)"",""Jeffrey Shumway(3)"",""Tricia Canonico(4)"",""Adam Eggleston(5)"",""Emily Francis(5)"",""Adam Hirschhorn(7)""","""Scotty V VanTatenhove"",""Shirley Peel"",""Jeffrey Shumway"",""Tricia Canonico"""
Larimer,City of Fort Collins Mayor,UPLOADED,93354,111-120-6,"""Adam Eggleston(1)"",""Tricia Canonico(2)"",""Emily Francis(3)"",""Shirley Peel(4)"",""Emily Francis(5)"",""Jeffrey Shumway(6)"",""Scotty V VanTatenhove(7)""","""Adam Eggleston"",""Tricia Canonico"",""Emily Francis"",""Shirley Peel"""
Larimer,City of Fort Collins Mayor,UPLOADED,93449,106-154-74,"""Tricia Canonico(1)"",""Emily Francis(2)"",""Adam Hirschhorn(3)"",""Adam Eggleston(4)"",""Shirley Peel(4)"",""Adam Hirschhorn(5)"",""Jeffrey Shumway(5)"",""Scotty V VanTatenhove(6)"",""Shirley Peel(7)""","""Tricia Canonico"",""Emily Francis"",""Adam Hirschhorn"""
